neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,Date
1,** NOT ASSIGNED **,Aggravated Assault,2.0,2017-08-01
3,** NOT ASSIGNED **,Auto Theft,3.0,2017-08-01
4,** NOT ASSIGNED **,Burglary,1.0,2017-08-01
6,** NOT ASSIGNED **,Larceny,8.0,2017-08-01
7,** NOT ASSIGNED **,Rape,2.0,2017-08-01
8,** NOT ASSIGNED **,Robbery,1.0,2017-08-01
11,ARMATAGE,Auto Theft,1.0,2017-08-01
12,ARMATAGE,Burglary,3.0,2017-08-01
14,ARMATAGE,Larceny,7.0,2017-08-01
18,AUDUBON PARK,Arson,1.0,2017-08-01
19,AUDUBON PARK,Auto Theft,2.0,2017-08-01
20,AUDUBON PARK,Burglary,4.0,2017-08-01
22,AUDUBON PARK,Larceny,13.0,2017-08-01
25,BANCROFT,Aggravated Assault,1.0,2017-08-01
27,BANCROFT,Auto Theft,1.0,2017-08-01
28,BANCROFT,Burglary,4.0,2017-08-01
30,BANCROFT,Larceny,5.0,2017-08-01
33,BELTRAMI,Aggravated Assault,1.0,2017-08-01
38,BELTRAMI,Larceny,2.0,2017-08-01
49,BRYANT,Aggravated Assault,1.0,2017-08-01
52,BRYANT,Burglary,6.0,2017-08-01
54,BRYANT,Larceny,2.0,2017-08-01
56,BRYANT,Robbery,1.0,2017-08-01
60,BRYN - MAWR,Burglary,3.0,2017-08-01
62,BRYN - MAWR,Larceny,4.0,2017-08-01
65,CAMDEN INDUSTRIAL,Aggravated Assault,1.0,2017-08-01
68,CAMDEN INDUSTRIAL,Burglary,1.0,2017-08-01
70,CAMDEN INDUSTRIAL,Larceny,2.0,2017-08-01
73,CARAG,Aggravated Assault,1.0,2017-08-01
75,CARAG,Auto Theft,4.0,2017-08-01
76,CARAG,Burglary,5.0,2017-08-01
78,CARAG,Larceny,20.0,2017-08-01
79,CARAG,Rape,2.0,2017-08-01
80,CARAG,Robbery,1.0,2017-08-01
81,CEDAR - ISLES - DEAN,Aggravated Assault,1.0,2017-08-01
83,CEDAR - ISLES - DEAN,Auto Theft,1.0,2017-08-01
84,CEDAR - ISLES - DEAN,Burglary,1.0,2017-08-01
86,CEDAR - ISLES - DEAN,Larceny,12.0,2017-08-01
89,CEDAR RIVERSIDE,Aggravated Assault,6.0,2017-08-01
91,CEDAR RIVERSIDE,Auto Theft,8.0,2017-08-01
92,CEDAR RIVERSIDE,Burglary,4.0,2017-08-01
93,CEDAR RIVERSIDE,Homicide,1.0,2017-08-01
94,CEDAR RIVERSIDE,Larceny,31.0,2017-08-01
95,CEDAR RIVERSIDE,Rape,1.0,2017-08-01
96,CEDAR RIVERSIDE,Robbery,4.0,2017-08-01
97,CENTRAL,Aggravated Assault,11.0,2017-08-01
99,CENTRAL,Auto Theft,4.0,2017-08-01
100,CENTRAL,Burglary,11.0,2017-08-01
102,CENTRAL,Larceny,14.0,2017-08-01
103,CENTRAL,Rape,3.0,2017-08-01
104,CENTRAL,Robbery,6.0,2017-08-01
105,CLEVELAND,Aggravated Assault,1.0,2017-08-01
107,CLEVELAND,Auto Theft,4.0,2017-08-01
108,CLEVELAND,Burglary,7.0,2017-08-01
109,CLEVELAND,Homicide,1.0,2017-08-01
110,CLEVELAND,Larceny,6.0,2017-08-01
111,CLEVELAND,Rape,1.0,2017-08-01
112,CLEVELAND,Robbery,2.0,2017-08-01
113,COLUMBIA PARK,Aggravated Assault,1.0,2017-08-01
116,COLUMBIA PARK,Burglary,3.0,2017-08-01
118,COLUMBIA PARK,Larceny,2.0,2017-08-01
120,COLUMBIA PARK,Robbery,1.0,2017-08-01
121,COMO,Aggravated Assault,1.0,2017-08-01
123,COMO,Auto Theft,2.0,2017-08-01
124,COMO,Burglary,5.0,2017-08-01
126,COMO,Larceny,11.0,2017-08-01
128,COMO,Robbery,2.0,2017-08-01
129,COOPER,Aggravated Assault,1.0,2017-08-01
132,COOPER,Burglary,7.0,2017-08-01
134,COOPER,Larceny,7.0,2017-08-01
138,CORCORAN,Arson,1.0,2017-08-01
139,CORCORAN,Auto Theft,2.0,2017-08-01
140,CORCORAN,Burglary,4.0,2017-08-01
142,CORCORAN,Larceny,13.0,2017-08-01
144,CORCORAN,Robbery,1.0,2017-08-01
147,DIAMOND LAKE,Auto Theft,2.0,2017-08-01
148,DIAMOND LAKE,Burglary,4.0,2017-08-01
150,DIAMOND LAKE,Larceny,7.0,2017-08-01
155,DOWNTOWN EAST,Auto Theft,1.0,2017-08-01
158,DOWNTOWN EAST,Larceny,26.0,2017-08-01
161,DOWNTOWN WEST,Aggravated Assault,22.0,2017-08-01
163,DOWNTOWN WEST,Auto Theft,13.0,2017-08-01
164,DOWNTOWN WEST,Burglary,8.0,2017-08-01
166,DOWNTOWN WEST,Larceny,162.0,2017-08-01
167,DOWNTOWN WEST,Rape,2.0,2017-08-01
168,DOWNTOWN WEST,Robbery,36.0,2017-08-01
172,EAST HARRIET,Burglary,2.0,2017-08-01
174,EAST HARRIET,Larceny,11.0,2017-08-01
179,EAST ISLES,Auto Theft,2.0,2017-08-01
180,EAST ISLES,Burglary,11.0,2017-08-01
182,EAST ISLES,Larceny,23.0,2017-08-01
185,EAST PHILLIPS,Aggravated Assault,5.0,2017-08-01
187,EAST PHILLIPS,Auto Theft,1.0,2017-08-01
188,EAST PHILLIPS,Burglary,1.0,2017-08-01
190,EAST PHILLIPS,Larceny,11.0,2017-08-01
192,EAST PHILLIPS,Robbery,9.0,2017-08-01
195,ECCO,Auto Theft,1.0,2017-08-01
196,ECCO,Burglary,4.0,2017-08-01
198,ECCO,Larceny,18.0,2017-08-01
201,ELLIOT PARK,Aggravated Assault,10.0,2017-08-01
203,ELLIOT PARK,Auto Theft,6.0,2017-08-01
204,ELLIOT PARK,Burglary,4.0,2017-08-01
206,ELLIOT PARK,Larceny,26.0,2017-08-01
207,ELLIOT PARK,Rape,1.0,2017-08-01
208,ELLIOT PARK,Robbery,4.0,2017-08-01
211,ERICSSON,Auto Theft,1.0,2017-08-01
212,ERICSSON,Burglary,4.0,2017-08-01
214,ERICSSON,Larceny,2.0,2017-08-01
219,FIELD,Auto Theft,1.0,2017-08-01
220,FIELD,Burglary,1.0,2017-08-01
222,FIELD,Larceny,6.0,2017-08-01
225,FOLWELL,Aggravated Assault,9.0,2017-08-01
227,FOLWELL,Auto Theft,4.0,2017-08-01
228,FOLWELL,Burglary,11.0,2017-08-01
229,FOLWELL,Homicide,1.0,2017-08-01
230,FOLWELL,Larceny,7.0,2017-08-01
231,FOLWELL,Rape,2.0,2017-08-01
232,FOLWELL,Robbery,5.0,2017-08-01
235,FULTON,Auto Theft,1.0,2017-08-01
236,FULTON,Burglary,4.0,2017-08-01
238,FULTON,Larceny,3.0,2017-08-01
244,HALE,Burglary,1.0,2017-08-01
246,HALE,Larceny,3.0,2017-08-01
249,HARRISON,Aggravated Assault,2.0,2017-08-01
251,HARRISON,Auto Theft,3.0,2017-08-01
252,HARRISON,Burglary,5.0,2017-08-01
254,HARRISON,Larceny,6.0,2017-08-01
255,HARRISON,Rape,1.0,2017-08-01
257,HAWTHORNE,Aggravated Assault,9.0,2017-08-01
258,HAWTHORNE,Arson,1.0,2017-08-01
259,HAWTHORNE,Auto Theft,8.0,2017-08-01
260,HAWTHORNE,Burglary,6.0,2017-08-01
262,HAWTHORNE,Larceny,22.0,2017-08-01
264,HAWTHORNE,Robbery,2.0,2017-08-01
267,HIAWATHA,Auto Theft,3.0,2017-08-01
268,HIAWATHA,Burglary,5.0,2017-08-01
270,HIAWATHA,Larceny,19.0,2017-08-01
272,HIAWATHA,Robbery,2.0,2017-08-01
273,HOLLAND,Aggravated Assault,1.0,2017-08-01
275,HOLLAND,Auto Theft,1.0,2017-08-01
276,HOLLAND,Burglary,4.0,2017-08-01
278,HOLLAND,Larceny,5.0,2017-08-01
280,HOLLAND,Robbery,4.0,2017-08-01
281,HOWE,Aggravated Assault,1.0,2017-08-01
283,HOWE,Auto Theft,4.0,2017-08-01
284,HOWE,Burglary,5.0,2017-08-01
286,HOWE,Larceny,8.0,2017-08-01
297,JORDAN,Aggravated Assault,14.0,2017-08-01
298,JORDAN,Arson,3.0,2017-08-01
299,JORDAN,Auto Theft,9.0,2017-08-01
300,JORDAN,Burglary,10.0,2017-08-01
302,JORDAN,Larceny,28.0,2017-08-01
303,JORDAN,Rape,1.0,2017-08-01
304,JORDAN,Robbery,8.0,2017-08-01
307,KEEWAYDIN,Auto Theft,1.0,2017-08-01
310,KEEWAYDIN,Larceny,7.0,2017-08-01
315,KENNY,Auto Theft,1.0,2017-08-01
316,KENNY,Burglary,3.0,2017-08-01
318,KENNY,Larceny,8.0,2017-08-01
321,KENWOOD,Aggravated Assault,1.0,2017-08-01
324,KENWOOD,Burglary,2.0,2017-08-01
326,KENWOOD,Larceny,3.0,2017-08-01
328,KENWOOD,Robbery,1.0,2017-08-01
329,KING FIELD,Aggravated Assault,1.0,2017-08-01
331,KING FIELD,Auto Theft,1.0,2017-08-01
332,KING FIELD,Burglary,3.0,2017-08-01
334,KING FIELD,Larceny,8.0,2017-08-01
335,KING FIELD,Rape,1.0,2017-08-01
337,LIND - BOHANON,Aggravated Assault,4.0,2017-08-01
338,LIND - BOHANON,Arson,1.0,2017-08-01
340,LIND - BOHANON,Burglary,6.0,2017-08-01
342,LIND - BOHANON,Larceny,6.0,2017-08-01
343,LIND - BOHANON,Rape,1.0,2017-08-01
347,LINDEN HILLS,Auto Theft,1.0,2017-08-01
348,LINDEN HILLS,Burglary,3.0,2017-08-01
350,LINDEN HILLS,Larceny,8.0,2017-08-01
353,LOGAN PARK,Aggravated Assault,2.0,2017-08-01
355,LOGAN PARK,Auto Theft,5.0,2017-08-01
356,LOGAN PARK,Burglary,3.0,2017-08-01
358,LOGAN PARK,Larceny,4.0,2017-08-01
361,LONGFELLOW,Aggravated Assault,1.0,2017-08-01
363,LONGFELLOW,Auto Theft,2.0,2017-08-01
364,LONGFELLOW,Burglary,4.0,2017-08-01
366,LONGFELLOW,Larceny,47.0,2017-08-01
367,LONGFELLOW,Rape,1.0,2017-08-01
368,LONGFELLOW,Robbery,2.0,2017-08-01
369,LORING PARK,Aggravated Assault,3.0,2017-08-01
371,LORING PARK,Auto Theft,3.0,2017-08-01
372,LORING PARK,Burglary,4.0,2017-08-01
374,LORING PARK,Larceny,33.0,2017-08-01
375,LORING PARK,Rape,1.0,2017-08-01
376,LORING PARK,Robbery,7.0,2017-08-01
379,LOWRY HILL,Auto Theft,1.0,2017-08-01
380,LOWRY HILL,Burglary,9.0,2017-08-01
382,LOWRY HILL,Larceny,10.0,2017-08-01
385,LOWRY HILL EAST,Aggravated Assault,3.0,2017-08-01
387,LOWRY HILL EAST,Auto Theft,3.0,2017-08-01
388,LOWRY HILL EAST,Burglary,5.0,2017-08-01
390,LOWRY HILL EAST,Larceny,40.0,2017-08-01
392,LOWRY HILL EAST,Robbery,2.0,2017-08-01
393,LYNDALE,Aggravated Assault,5.0,2017-08-01
395,LYNDALE,Auto Theft,6.0,2017-08-01
396,LYNDALE,Burglary,10.0,2017-08-01
398,LYNDALE,Larceny,23.0,2017-08-01
400,LYNDALE,Robbery,5.0,2017-08-01
403,LYNNHURST,Auto Theft,1.0,2017-08-01
404,LYNNHURST,Burglary,3.0,2017-08-01
406,LYNNHURST,Larceny,6.0,2017-08-01
407,LYNNHURST,Rape,1.0,2017-08-01
409,MARCY HOLMES,Aggravated Assault,2.0,2017-08-01
411,MARCY HOLMES,Auto Theft,11.0,2017-08-01
412,MARCY HOLMES,Burglary,7.0,2017-08-01
414,MARCY HOLMES,Larceny,37.0,2017-08-01
416,MARCY HOLMES,Robbery,3.0,2017-08-01
417,MARSHALL TERRACE,Aggravated Assault,1.0,2017-08-01
419,MARSHALL TERRACE,Auto Theft,2.0,2017-08-01
420,MARSHALL TERRACE,Burglary,3.0,2017-08-01
422,MARSHALL TERRACE,Larceny,5.0,2017-08-01
425,MCKINLEY,Aggravated Assault,3.0,2017-08-01
427,MCKINLEY,Auto Theft,3.0,2017-08-01
428,MCKINLEY,Burglary,6.0,2017-08-01
430,MCKINLEY,Larceny,6.0,2017-08-01
436,MID - CITY INDUSTRIAL,Burglary,6.0,2017-08-01
438,MID - CITY INDUSTRIAL,Larceny,3.0,2017-08-01
441,MIDTOWN PHILLIPS,Aggravated Assault,5.0,2017-08-01
443,MIDTOWN PHILLIPS,Auto Theft,1.0,2017-08-01
444,MIDTOWN PHILLIPS,Burglary,6.0,2017-08-01
446,MIDTOWN PHILLIPS,Larceny,17.0,2017-08-01
447,MIDTOWN PHILLIPS,Rape,1.0,2017-08-01
448,MIDTOWN PHILLIPS,Robbery,5.0,2017-08-01
449,MINNEHAHA,Aggravated Assault,1.0,2017-08-01
452,MINNEHAHA,Burglary,1.0,2017-08-01
454,MINNEHAHA,Larceny,8.0,2017-08-01
456,MINNEHAHA,Robbery,1.0,2017-08-01
460,MORRIS PARK,Burglary,1.0,2017-08-01
462,MORRIS PARK,Larceny,2.0,2017-08-01
465,NEAR - NORTH,Aggravated Assault,8.0,2017-08-01
467,NEAR - NORTH,Auto Theft,2.0,2017-08-01
468,NEAR - NORTH,Burglary,14.0,2017-08-01
469,NEAR - NORTH,Homicide,1.0,2017-08-01
470,NEAR - NORTH,Larceny,44.0,2017-08-01
471,NEAR - NORTH,Rape,1.0,2017-08-01
472,NEAR - NORTH,Robbery,5.0,2017-08-01
475,NICOLLET ISLAND - EAST BANK,Auto Theft,1.0,2017-08-01
476,NICOLLET ISLAND - EAST BANK,Burglary,1.0,2017-08-01
478,NICOLLET ISLAND - EAST BANK,Larceny,6.0,2017-08-01
480,NICOLLET ISLAND - EAST BANK,Robbery,1.0,2017-08-01
481,NORTH LOOP,Aggravated Assault,1.0,2017-08-01
484,NORTH LOOP,Burglary,5.0,2017-08-01
486,NORTH LOOP,Larceny,50.0,2017-08-01
488,NORTH LOOP,Robbery,5.0,2017-08-01
494,NORTHEAST PARK,Larceny,11.0,2017-08-01
497,NORTHROP,Aggravated Assault,1.0,2017-08-01
499,NORTHROP,Auto Theft,3.0,2017-08-01
500,NORTHROP,Burglary,6.0,2017-08-01
502,NORTHROP,Larceny,6.0,2017-08-01
504,NORTHROP,Robbery,1.0,2017-08-01
507,PAGE,Auto Theft,1.0,2017-08-01
508,PAGE,Burglary,3.0,2017-08-01
510,PAGE,Larceny,1.0,2017-08-01
513,PHILLIPS WEST,Aggravated Assault,5.0,2017-08-01
515,PHILLIPS WEST,Auto Theft,4.0,2017-08-01
516,PHILLIPS WEST,Burglary,8.0,2017-08-01
518,PHILLIPS WEST,Larceny,17.0,2017-08-01
520,PHILLIPS WEST,Robbery,2.0,2017-08-01
521,POWDERHORN PARK,Aggravated Assault,6.0,2017-08-01
523,POWDERHORN PARK,Auto Theft,3.0,2017-08-01
524,POWDERHORN PARK,Burglary,15.0,2017-08-01
526,POWDERHORN PARK,Larceny,22.0,2017-08-01
527,POWDERHORN PARK,Rape,2.0,2017-08-01
528,POWDERHORN PARK,Robbery,2.0,2017-08-01
531,PROSPECT PARK - EAST RIVER ROAD,Auto Theft,1.0,2017-08-01
532,PROSPECT PARK - EAST RIVER ROAD,Burglary,6.0,2017-08-01
534,PROSPECT PARK - EAST RIVER ROAD,Larceny,27.0,2017-08-01
535,PROSPECT PARK - EAST RIVER ROAD,Rape,3.0,2017-08-01
536,PROSPECT PARK - EAST RIVER ROAD,Robbery,3.0,2017-08-01
537,REGINA,Aggravated Assault,1.0,2017-08-01
540,REGINA,Burglary,2.0,2017-08-01
542,REGINA,Larceny,2.0,2017-08-01
544,REGINA,Robbery,1.0,2017-08-01
545,SEWARD,Aggravated Assault,5.0,2017-08-01
547,SEWARD,Auto Theft,3.0,2017-08-01
548,SEWARD,Burglary,11.0,2017-08-01
550,SEWARD,Larceny,25.0,2017-08-01
552,SEWARD,Robbery,4.0,2017-08-01
553,SHERIDAN,Aggravated Assault,1.0,2017-08-01
555,SHERIDAN,Auto Theft,3.0,2017-08-01
556,SHERIDAN,Burglary,5.0,2017-08-01
558,SHERIDAN,Larceny,11.0,2017-08-01
564,SHINGLE CREEK,Burglary,6.0,2017-08-01
566,SHINGLE CREEK,Larceny,5.0,2017-08-01
568,SHINGLE CREEK,Robbery,1.0,2017-08-01
569,ST. ANTHONY EAST,Aggravated Assault,1.0,2017-08-01
571,ST. ANTHONY EAST,Auto Theft,1.0,2017-08-01
572,ST. ANTHONY EAST,Burglary,2.0,2017-08-01
574,ST. ANTHONY EAST,Larceny,3.0,2017-08-01
