"state_postal_abbr","data_year","officer_count","officer_rate_per_1000","civilian_count","civilian_rate_per_1000","population"
"AK",1960,,,,,226167
"AK",1961,,,,,226167
"AK",1962,,,,,0
"AK",1963,,,,,248000
"AK",1964,,,,,250000
"AK",1965,,,,,253000
"AK",1966,,,,,263131
"AK",1967,,,,,272000
"AK",1968,,,,,277000
"AK",1969,,,,,282000
"AK",1970,,,,,302173
"AK",1971,230,0.73,83,0.27,313000
"AK",1972,463,1.42,165,0.51,325000
"AK",1973,302,0.92,101,0.31,330000
"AK",1974,341,1.01,118,0.35,337000
"AK",1975,357,1.01,127,0.36,352000
"AK",1976,356,0.93,125,0.33,382000
"AK",1977,410,0.92,134,0.30,446004
"AK",1978,523,1.18,192,0.43,442004
"AK",1979,555,1.25,207,0.46,445294
"AK",1980,575,1.31,213,0.49,438869
"AK",1981,588,1.30,250,0.55,451875
"AK",1982,621,1.29,238,0.50,480391
"AK",1983,1070,2.04,709,1.35,525359
"AK",1984,955,1.71,495,0.89,557682
"AK",1985,1041,1.80,490,0.85,579424
"AK",1986,1031,1.93,734,1.37,534000
"AK",1987,964,1.84,531,1.01,525000
"AK",1988,957,1.87,583,1.14,513000
"AK",1989,944,1.79,536,1.02,527000
"AK",1990,988,1.80,516,0.94,550043
"AK",1991,1034,1.81,614,1.08,570000
"AK",1992,1024,1.74,552,0.94,587000
"AK",1993,1082,1.81,615,1.03,599000
"AK",1994,1073,1.77,578,0.95,606000
"AK",1995,1134,1.88,637,1.05,604000
"AK",1996,1156,1.90,653,1.08,607000
"AK",1997,857,1.41,444,0.73,609000
"AK",1998,1113,1.81,659,1.07,614000
"AK",1999,1169,1.89,688,1.11,619000
"AK",2000,1158,1.85,675,1.08,626932
"AK",2001,1204,1.90,661,1.04,634892
"AK",2002,1203,1.87,701,1.09,643893
"AK",2003,1174,1.81,682,1.05,648921
"AK",2004,1252,1.91,688,1.05,655932
"AK",2005,1216,1.83,669,1.01,664150
"AK",2006,1259,1.88,722,1.08,670527
"AK",2007,1246,1.82,689,1.01,683918
"AK",2008,1299,1.89,708,1.03,686732
"AK",2009,1304,1.87,720,1.03,698901
"AK",2010,1258,1.77,730,1.03,711456
"AK",2011,1324,1.82,710,0.98,725910
"AK",2012,1330,1.81,690,0.94,735190
"AK",2013,1361,1.84,634,0.86,739005
"AK",2014,1318,1.78,691,0.93,740644
"AK",2015,1316,1.77,691,0.93,743350
"AK",2016,1269,1.70,728,0.97,747188
"AK",2017,1247,1.67,686,0.92,744849
"AK",2018,1286,1.73,699,0.94,742552
"AK",2019,1271,1.73,708,0.96,736704
"AL",1960,,,,,3324840
"AL",1961,,,,,3324840
"AL",1962,,,,,3418635
"AL",1963,,,,,3432484
"AL",1964,,,,,3461181
"AL",1965,,,,,3582883
"AL",1966,,,,,3608224
"AL",1967,,,,,3623460
"AL",1968,,,,,3670070
"AL",1969,,,,,3642285
"AL",1970,,,,,3543767
"AL",1971,2759,0.77,360,0.10,3581147
"AL",1972,4575,1.27,1021,0.28,3613207
"AL",1973,4333,1.19,775,0.21,3634737
"AL",1974,4812,1.32,905,0.25,3643905
"AL",1975,5161,1.41,1046,0.29,3667918
"AL",1976,5698,1.55,1197,0.33,3665000
"AL",1977,5888,1.60,1492,0.40,3691158
"AL",1978,5984,1.60,1637,0.44,3743158
"AL",1979,6111,1.62,1753,0.46,3770191
"AL",1980,6059,1.56,1792,0.46,3881325
"AL",1981,6077,1.54,1877,0.48,3947449
"AL",1982,6077,1.52,1958,0.49,4007808
"AL",1983,6903,1.72,2603,0.65,4018684
"AL",1984,6917,1.71,2780,0.69,4047951
"AL",1985,6930,1.70,2987,0.73,4086156
"AL",1986,7333,1.78,3068,0.74,4120193
"AL",1987,7320,1.76,3127,0.75,4149862
"AL",1988,7499,1.79,3216,0.77,4199336
"AL",1989,7722,1.84,3299,0.79,4194689
"AL",1990,8014,1.95,3443,0.84,4114708
"AL",1991,9508,1.99,4116,0.86,4774167
"AL",1992,9809,2.02,4035,0.83,4852207
"AL",1993,8719,2.05,3920,0.92,4260591
"AL",1994,8875,2.07,4010,0.93,4293105
"AL",1995,9191,2.13,4296,0.99,4319212
"AL",1996,9513,2.19,4658,1.07,4341388
"AL",1997,8963,2.04,4209,0.96,4388086
"AL",1998,10066,2.29,4820,1.10,4397943
